TATA MOTORS 6 MONTH SALES ,,,,,,,,
Peiod,Punch,Nexon,Tiago,Curvv,Altroz,Safari,Harrier,Tigor
Sep-24,13711,11470,4225,4763,2758,1644,1600,894
Oct-24,15740,14759,4682,5351,2642,2086,1947,926
Nov-24,15435,15329,5319,5101,2083,1563,1374,859
Dec-24,15073,13536,5006,4994,1866,1385,1307,1054
Jan-25,16231,15397,6807,3087,2033,1548,1488,1484
Feb-25,14559,15349,6954,3483,1604,1562,1376,1550
,0,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
